# Constructed from biom file
#OTU ID	BAQ4166.1	BAQ4166.2	BAQ4166.3	BAQ4697.1	BAQ4697.2	BAQ4697.3	control	YUN3428.1	YUN3428.2	YUN3428.3	YUN3856.1	YUN3856.2	YUN3856.3	taxonomy
b1930448a1fb27ac60d9812ffd967f80	0.0	0.0	0.0	109.0	26.0	123.0	42.0	0.0	0.0	0.0	29.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Nitrosococcales; D_4__Nitrosococcaceae; D_5__wb1-P19; D_6__uncultured bacterium
6e02d11d7f4f656a76fd84c963e43d32	0.0	0.0	0.0	65.0	115.0	49.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Nitrosococcales; D_4__Nitrosococcaceae; D_5__wb1-P19; D_6__uncultured bacterium
71c3bff3b412ff1dd60f6b068b7bf2a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	170.0	40.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Nitrosococcales; D_4__Nitrosococcaceae; D_5__wb1-P19; D_6__uncultured bacterium
a5e48b027fcf233fa5c9a33e67ddd2c4	0.0	0.0	0.0	43.0	96.0	61.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Gaiellales; D_4__Gaiellaceae; D_5__Gaiella
1de2ecdddbc8ce077238379a1441395e	0.0	0.0	0.0	68.0	26.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__MB-A2-108; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
daae3699c460e7d41ec585f2d1241c4f	28.0	0.0	0.0	49.0	13.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Solirubrobacterales; D_4__67-14; D_5__uncultured Rubrobacteria bacterium; D_6__uncultured Rubrobacteria bacterium
8f076acdd38ed1eb6abf991a913ff572	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Solirubrobacterales; D_4__Solirubrobacteraceae; D_5__Solirubrobacter; Ambiguous_taxa
7ff346973a282aa55de296afdb5d74af	0.0	0.0	0.0	38.0	31.0	19.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micrococcales; D_4__Micrococcaceae
227b7a4c194ea39cf3686d285a93541a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	20.0	49.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Sphingomonadales; D_4__Sphingomonadaceae; D_5__Sphingomonas
f2fd9d7b74d80ad0cc6f3439e6325d27	0.0	0.0	37.0	0.0	16.0	10.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	D_0__Bacteria; D_1__Gemmatimonadetes; D_2__Gemmatimonadetes; D_3__Gemmatimonadales; D_4__Gemmatimonadaceae; D_5__uncultured
84351f43af04791ddd7762ac90f5bb66	0.0	11.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Chthoniobacterales; D_4__Chthoniobacteraceae; D_5__Candidatus Udaeobacter; D_6__uncultured Prosthecobacter sp.
af04bea31b2bb5e842073a8a2cc21594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	45.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Gaiellales; D_4__uncultured; D_5__uncultured microorganism; D_6__uncultured microorganism
1845147963cd510356415ead4dd51a54	0.0	0.0	0.0	24.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Chloroflexi; D_2__Gitt-GS-136; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa
7b84a3d7debf326a97ca9dc359cf85ba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Gaiellales
26005dfb7ad2e8cdbb139846af329663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
16b5e084ce3fa000b8baf838d1651cac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Solirubrobacterales; D_4__67-14; D_5__uncultured Rubrobacteria bacterium; D_6__uncultured Rubrobacteria bacterium
8636abf388c9038378458173a353329a	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Gaiellales; D_4__Gaiellaceae; D_5__Gaiella
74a26e97b02fcab82b0d346de4920f75	0.0	35.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Corynebacteriales; D_4__Mycobacteriaceae; D_5__Mycobacterium
7788202c026a5cd7cdc551efcc31a772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	17.0	D_0__Bacteria; D_1__Gemmatimonadetes; D_2__Gemmatimonadetes; D_3__Gemmatimonadales; D_4__Gemmatimonadaceae; D_5__uncultured; Ambiguous_taxa
4b02604233d33077d0a6fbf2fa7518ce	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	D_0__Bacteria; D_1__Actinobacteria; D_2__0319-7L14; D_3__uncultured actinobacterium; D_4__uncultured actinobacterium; D_5__uncultured actinobacterium; D_6__uncultured actinobacterium
50af92111d1cc3dd9110795e6d4c9ab4	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Solirubrobacterales; D_4__67-14; D_5__uncultured Rubrobacteria bacterium; D_6__uncultured Rubrobacteria bacterium
7653cdca9bdece4101e95cd83ac1fc8e	0.0	0.0	0.0	0.0	28.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Gaiellales; D_4__uncultured
4d1bb77a4abea73ade570c276299c27c	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Chloroflexi; D_2__KD4-96
120eba657e42a11a5c29f97b90f02035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Streptomycetales; D_4__Streptomycetaceae; D_5__Streptomyces
